type,content,mentions,mention_roles,attachments,embeds,timestamp,edited_timestamp,flags,components,id,channel_id,author,pinned,mention_everyone,tts,message_reference,position,referenced_message,sticker_items,reactions
19,beautiful,"[{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:50.745000+00:00,,0,[],1354279402057236620,1139080656266203147,"{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279349494349966', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'My love for bl❤️❤️❤️', 'mentions': [{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:22:38.213000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279349494349966', 'channel_id': '1139080656266203147', 'author': {'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279254157951117', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,OH YEAAA,"[{'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:49.340000+00:00,,0,[],1354279396164501596,1139080656266203147,"{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279379982876693', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'I adopted', 'mentions': [{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:22:45.482000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279379982876693', 'channel_id': '1139080656266203147', 'author': {'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279311930032169', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,I adopted,"[{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:45.482000+00:00,,0,[],1354279379982876693,1139080656266203147,"{'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279311930032169', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'who are u', 'mentions': [{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:22:29.257000+00:00', 'edited_timestamp': '2025-03-26T02:22:32.529000+00:00', 'flags': 0, 'components': [], 'id': '1354279311930032169', 'channel_id': '1139080656266203147', 'author': {'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279142400458904', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,YOU WILL FIND THEM <:TT_BagCute:1241717903665922058>,"[{'id': '1121486516250742835', 'username': 'asukathegoat', 'avatar': '0a8c2fea15018479113849ac12b1ea60', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𝔄𝔫𝔤𝔦𝔢', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:39.882000+00:00,,0,[],1354279356494512148,1139080656266203147,"{'id': '932250331344166913', 'username': 'forhange', 'avatar': '0014c74699761c938eb9c9214c0965b0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '૮꒰ྀི´ ˘ `།𐙚꒱ა', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279144942342294', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'I CANT FIND MT FUCKING WIRED HEADPINRS', 'mentions': [{'id': '932250331344166913', 'username': 'forhange', 'avatar': '0014c74699761c938eb9c9214c0965b0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '૮꒰ྀི´ ˘ `།𐙚꒱ა', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:49.444000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279144942342294', 'channel_id': '1139080656266203147', 'author': {'id': '1121486516250742835', 'username': 'asukathegoat', 'avatar': '0a8c2fea15018479113849ac12b1ea60', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𝔄𝔫𝔤𝔦𝔢', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279081650159697', 'guild_id': '1017072750386483332'}, 'position': 0}",,
0,ima pull a all nighter again lets just hope i dont fall alseep in class!!!,[],[],[],[],2025-03-26T02:22:39.370000+00:00,,0,[],1354279354347290706,1139080656266203147,"{'id': '1324607163431129140', 'username': 'gimme_a_silly_username', 'avatar': 'd2bcbe5e04f45bcb5da856ad449f9a3a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '☕•°~Expresso~°•☕', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,,
19,My love for bl❤️❤️❤️,"[{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:38.213000+00:00,,0,[],1354279349494349966,1139080656266203147,"{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279254157951117', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'what inspired such a decision', 'mentions': [{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:22:15.483000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279254157951117', 'channel_id': '1139080656266203147', 'author': {'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279171471446067', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,who are u,"[{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:29.257000+00:00,2025-03-26T02:22:32.529000+00:00,0,[],1354279311930032169,1139080656266203147,"{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279142400458904', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'Mama :0??!??', 'mentions': [{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:48.838000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279142400458904', 'channel_id': '1139080656266203147', 'author': {'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279079762858085', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,GO GET A ROOM MY GOODNESS <:1t_angry:1295183996405420093>,"[{'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:22.635000+00:00,,0,[],1354279284155482223,1139080656266203147,"{'id': '932250331344166913', 'username': 'forhange', 'avatar': '0014c74699761c938eb9c9214c0965b0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '૮꒰ྀི´ ˘ `།𐙚꒱ა', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279135991562280', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'pucker up buttercup', 'mentions': [{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:47.310000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279135991562280', 'channel_id': '1139080656266203147', 'author': {'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279079762858085', 'guild_id': '1017072750386483332'}, 'position': 0}",,
0,,[],[],[],[],2025-03-26T02:22:20.657000+00:00,,0,[],1354279275859021875,1139080656266203147,"{'id': '1121871049064194158', 'username': 'ghcstking', 'avatar': '390c012975cf66df997379c113537c6d', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '𝜗𝜚 𝓝𝙞𝙘𝙤', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,,,,"[{'id': '1111317565873078404', 'name': 'emma hi :)', 'format_type': 1}]",
19,what inspired such a decision,"[{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:22:15.483000+00:00,,0,[],1354279254157951117,1139080656266203147,"{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279171471446067', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'Thank you <:tiktokhappy:1215501305972269126>', 'mentions': [{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:55.769000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279171471446067', 'channel_id': '1139080656266203147', 'author': {'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279034443530320', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,Thank you <:tiktokhappy:1215501305972269126>,"[{'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:21:55.769000+00:00,,0,[],1354279171471446067,1139080656266203147,"{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279034443530320', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'thats amazing', 'mentions': [{'id': '388822145666514947', 'username': 'yaoidilf', 'avatar': 'e4768d772cf540189ed4013bd3d7a8f2', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'KENNY', 'avatar_decoration_data': {'asset': 'a_8ffa2ba9bff18e96b76c2e66fd0d7fa3', 'sku_id': '1144307957425778779', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:23.099000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279034443530320', 'channel_id': '1139080656266203147', 'author': {'id': '1230687123154407425', 'username': 'dykecatra', 'avatar': 'e352aae044939fe57fbbf433b086352a', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'worm', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354278973625860250', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,I CANT FIND MT FUCKING WIRED HEADPINRS,"[{'id': '932250331344166913', 'username': 'forhange', 'avatar': '0014c74699761c938eb9c9214c0965b0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '૮꒰ྀི´ ˘ `།𐙚꒱ა', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:21:49.444000+00:00,,0,[],1354279144942342294,1139080656266203147,"{'id': '1121486516250742835', 'username': 'asukathegoat', 'avatar': '0a8c2fea15018479113849ac12b1ea60', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𝔄𝔫𝔤𝔦𝔢', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279081650159697', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'WHY??? <:tt_baffled:1295753609522446459>', 'mentions': [{'id': '1121486516250742835', 'username': 'asukathegoat', 'avatar': '0a8c2fea15018479113849ac12b1ea60', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': '𝔄𝔫𝔤𝔦𝔢', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:34.354000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279081650159697', 'channel_id': '1139080656266203147', 'author': {'id': '932250331344166913', 'username': 'forhange', 'avatar': '0014c74699761c938eb9c9214c0965b0', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': '૮꒰ྀི´ ˘ `།𐙚꒱ა', 'avatar_decoration_data': {'asset': 'a_d72066b8cecbadd9fc951913ebcc384f', 'sku_id': '1144307629225672846', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279016990769203', 'guild_id': '1017072750386483332'}, 'position': 0}",,
19,Mama :0??!??,"[{'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]",[],[],[],2025-03-26T02:21:48.838000+00:00,,0,[],1354279142400458904,1139080656266203147,"{'id': '1299812270427078797', 'username': 'unknown.hk', 'avatar': '3c7dba427992309f835caf7775f51cf6', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ᴊᴏʜɴɴʏ', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}",FALSE,FALSE,FALSE,"{'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354279079762858085', 'guild_id': '1017072750386483332'}",0,"{'type': 19, 'content': 'oh yk what makes it better? a kiss', 'mentions': [{'id': '1338135999527649302', 'username': 'olagui18', 'avatar': 'add0ca3879d93a44e67e499888fc8af2', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Drac', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-03-26T02:21:33.904000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1354279079762858085', 'channel_id': '1139080656266203147', 'author': {'id': '1199428929568653393', 'username': 'jsmarissa', 'avatar': '72d636f2cb2354885c7f8cd2e06d96da', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lisa', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'message_reference': {'type': 0, 'channel_id': '1139080656266203147', 'message_id': '1354258298911592550', 'guild_id': '1017072750386483332'}, 'position': 0}",,
